,Postcode,Grid Ref,County,District,Ward,District Code,Ward Code,County Code,Constituency,Population,Households,Lower layer super output area,Region,London zone,LSOA Code,MSOA Code,Middle layer super output area,Index of Multiple Deprivation,Postcode district,Average Income,Postcode2
26,BS1 1JQ,ST588729,Bristol,"Bristol, City of",Central,E06000023,E05010892,E11000003,Bristol West,,,Bristol 032B,South West,,E01014540,E02003043,Bristol 032,12154,BS1,47500,BS1 1
27,BS1 1JR,ST587729,Bristol,"Bristol, City of",Central,E06000023,E05010892,E11000003,Bristol West,25.0,17.0,Bristol 032B,South West,,E01014540,E02003043,Bristol 032,12154,BS1,47500,BS1 1
28,BS1 1JS,ST587728,Bristol,"Bristol, City of",Central,E06000023,E05010892,E11000003,Bristol West,,,Bristol 032B,South West,,E01014540,E02003043,Bristol 032,12154,BS1,47500,BS1 1
29,BS1 1JW,ST588729,Bristol,"Bristol, City of",Central,E06000023,E05010892,E11000003,Bristol West,,,Bristol 032B,South West,,E01014540,E02003043,Bristol 032,12154,BS1,47500,BS1 1
30,BS1 1JX,ST587729,Bristol,"Bristol, City of",Central,E06000023,E05010892,E11000003,Bristol West,,,Bristol 032B,South West,,E01014540,E02003043,Bristol 032,12154,BS1,47500,BS1 1
31,BS1 1LA,ST588729,Bristol,"Bristol, City of",Central,E06000023,E05010892,E11000003,Bristol West,,,Bristol 032B,South West,,E01014540,E02003043,Bristol 032,12154,BS1,47500,BS1 1
32,BS1 1LJ,ST588729,Bristol,"Bristol, City of",Central,E06000023,E05010892,E11000003,Bristol West,,,Bristol 032B,South West,,E01014540,E02003043,Bristol 032,12154,BS1,47500,BS1 1
33,BS1 1LT,ST587728,Bristol,"Bristol, City of",Central,E06000023,E05010892,E11000003,Bristol West,,,Bristol 032B,South West,,E01014540,E02003043,Bristol 032,12154,BS1,47500,BS1 1
34,BS1 1NA,ST587728,Bristol,"Bristol, City of",Central,E06000023,E05010892,E11000003,Bristol West,,,Bristol 032B,South West,,E01014540,E02003043,Bristol 032,12154,BS1,47500,BS1 1
35,BS1 1NG,ST587728,Bristol,"Bristol, City of",Central,E06000023,E05010892,E11000003,Bristol West,1.0,1.0,Bristol 032B,South West,,E01014540,E02003043,Bristol 032,12154,BS1,47500,BS1 1
36,BS1 1NR,ST587728,Bristol,"Bristol, City of",Central,E06000023,E05010892,E11000003,Bristol West,68.0,37.0,Bristol 032B,South West,,E01014540,E02003043,Bristol 032,12154,BS1,47500,BS1 1
37,BS1 1PN,ST588728,Bristol,"Bristol, City of",Central,E06000023,E05010892,E11000003,Bristol West,,,Bristol 032B,South West,,E01014540,E02003043,Bristol 032,12154,BS1,47500,BS1 1
38,BS1 1QB,ST588728,Bristol,"Bristol, City of",Central,E06000023,E05010892,E11000003,Bristol West,,,Bristol 032B,South West,,E01014540,E02003043,Bristol 032,12154,BS1,47500,BS1 1
39,BS1 1QP,ST589728,Bristol,"Bristol, City of",Central,E06000023,E05010892,E11000003,Bristol West,,,Bristol 032B,South West,,E01014540,E02003043,Bristol 032,12154,BS1,47500,BS1 1
40,BS1 1QQ,ST588728,Bristol,"Bristol, City of",Central,E06000023,E05010892,E11000003,Bristol West,,,Bristol 032B,South West,,E01014540,E02003043,Bristol 032,12154,BS1,47500,BS1 1
41,BS1 1QW,ST589728,Bristol,"Bristol, City of",Central,E06000023,E05010892,E11000003,Bristol West,42.0,13.0,Bristol 032B,South West,,E01014540,E02003043,Bristol 032,12154,BS1,47500,BS1 1
42,BS1 1QZ,ST589729,Bristol,"Bristol, City of",Central,E06000023,E05010892,E11000003,Bristol West,10.0,5.0,Bristol 032B,South West,,E01014540,E02003043,Bristol 032,12154,BS1,47500,BS1 1
43,BS1 1RA,ST588729,Bristol,"Bristol, City of",Central,E06000023,E05010892,E11000003,Bristol West,,,Bristol 032B,South West,,E01014540,E02003043,Bristol 032,12154,BS1,47500,BS1 1
44,BS1 1RB,ST588729,Bristol,"Bristol, City of",Central,E06000023,E05010892,E11000003,Bristol West,,,Bristol 032B,South West,,E01014540,E02003043,Bristol 032,12154,BS1,47500,BS1 1
45,BS1 1RG,ST588728,Bristol,"Bristol, City of",Central,E06000023,E05010892,E11000003,Bristol West,20.0,18.0,Bristol 032B,South West,,E01014540,E02003043,Bristol 032,12154,BS1,47500,BS1 1
46,BS1 1RT,ST586729,Bristol,"Bristol, City of",Central,E06000023,E05010892,E11000003,Bristol West,16.0,7.0,Bristol 032B,South West,,E01014540,E02003043,Bristol 032,12154,BS1,47500,BS1 1
47,BS1 1RU,ST586729,Bristol,"Bristol, City of",Central,E06000023,E05010892,E11000003,Bristol West,28.0,18.0,Bristol 032B,South West,,E01014540,E02003043,Bristol 032,12154,BS1,47500,BS1 1
48,BS1 1SA,ST586728,Bristol,"Bristol, City of",Central,E06000023,E05010892,E11000003,Bristol West,,,Bristol 032B,South West,,E01014540,E02003043,Bristol 032,12154,BS1,47500,BS1 1
49,BS1 1SD,ST586728,Bristol,"Bristol, City of",Central,E06000023,E05010892,E11000003,Bristol West,,,Bristol 032B,South West,,E01014540,E02003043,Bristol 032,12154,BS1,47500,BS1 1
50,BS1 1SE,ST587728,Bristol,"Bristol, City of",Central,E06000023,E05010892,E11000003,Bristol West,110.0,32.0,Bristol 032B,South West,,E01014540,E02003043,Bristol 032,12154,BS1,47500,BS1 1
51,BS1 1TG,ST587729,Bristol,"Bristol, City of",Central,E06000023,E05010892,E11000003,Bristol West,,,Bristol 032B,South West,,E01014540,E02003043,Bristol 032,12154,BS1,47500,BS1 1
52,BS1 1TP,ST587729,Bristol,"Bristol, City of",Central,E06000023,E05010892,E11000003,Bristol West,31.0,10.0,Bristol 032B,South West,,E01014540,E02003043,Bristol 032,12154,BS1,47500,BS1 1
53,BS1 1UA,ST588729,Bristol,"Bristol, City of",Central,E06000023,E05010892,E11000003,Bristol West,9.0,6.0,Bristol 032B,South West,,E01014540,E02003043,Bristol 032,12154,BS1,47500,BS1 1
54,BS1 1UB,ST588729,Bristol,"Bristol, City of",Central,E06000023,E05010892,E11000003,Bristol West,6.0,4.0,Bristol 032B,South West,,E01014540,E02003043,Bristol 032,12154,BS1,47500,BS1 1
55,BS1 1UE,ST588729,Bristol,"Bristol, City of",Central,E06000023,E05010892,E11000003,Bristol West,2.0,1.0,Bristol 032B,South West,,E01014540,E02003043,Bristol 032,12154,BS1,47500,BS1 1
56,BS1 1UQ,ST589729,Bristol,"Bristol, City of",Central,E06000023,E05010892,E11000003,Bristol West,9.0,4.0,Bristol 032B,South West,,E01014540,E02003043,Bristol 032,12154,BS1,47500,BS1 1
57,BS1 1WH,ST588728,Bristol,"Bristol, City of",Central,E06000023,E05010892,E11000003,Bristol West,172.0,7.0,Bristol 032B,South West,,E01014540,E02003043,Bristol 032,12154,BS1,47500,BS1 1
58,BS1 1XA,ST587729,Bristol,"Bristol, City of",Central,E06000023,E05010892,E11000003,Bristol West,,,Bristol 032B,South West,,E01014540,E02003043,Bristol 032,12154,BS1,47500,BS1 1
59,BS1 1XH,ST586729,Bristol,"Bristol, City of",Central,E06000023,E05010892,E11000003,Bristol West,14.0,3.0,Bristol 032B,South West,,E01014540,E02003043,Bristol 032,12154,BS1,47500,BS1 1
60,BS1 1XR,ST586728,Bristol,"Bristol, City of",Central,E06000023,E05010892,E11000003,Bristol West,6.0,4.0,Bristol 032B,South West,,E01014540,E02003043,Bristol 032,12154,BS1,47500,BS1 1
61,BS1 1YA,ST587729,Bristol,"Bristol, City of",Central,E06000023,E05010892,E11000003,Bristol West,,,Bristol 032B,South West,,E01014540,E02003043,Bristol 032,12154,BS1,47500,BS1 1
62,BS1 1YH,ST587729,Bristol,"Bristol, City of",Central,E06000023,E05010892,E11000003,Bristol West,,,Bristol 032B,South West,,E01014540,E02003043,Bristol 032,12154,BS1,47500,BS1 1
63,BS1 1YL,ST586729,Bristol,"Bristol, City of",Central,E06000023,E05010892,E11000003,Bristol West,45.0,24.0,Bristol 032B,South West,,E01014540,E02003043,Bristol 032,12154,BS1,47500,BS1 1
64,BS1 2AA,ST588733,Bristol,"Bristol, City of",Central,E06000023,E05010892,E11000003,Bristol West,,,Bristol 032C,South West,,E01014542,E02003043,Bristol 032,18266,BS1,47500,BS1 2
65,BS1 2AF,ST587732,Bristol,"Bristol, City of",Central,E06000023,E05010892,E11000003,Bristol West,,,Bristol 032C,South West,,E01014542,E02003043,Bristol 032,18266,BS1,47500,BS1 2
66,BS1 2AG,ST589733,Bristol,"Bristol, City of",Central,E06000023,E05010892,E11000003,Bristol West,,,Bristol 032B,South West,,E01014540,E02003043,Bristol 032,12154,BS1,47500,BS1 2
67,BS1 2AL,ST587732,Bristol,"Bristol, City of",Central,E06000023,E05010892,E11000003,Bristol West,,,Bristol 032C,South West,,E01014542,E02003043,Bristol 032,18266,BS1,47500,BS1 2
68,BS1 2AN,ST589730,Bristol,"Bristol, City of",Central,E06000023,E05010892,E11000003,Bristol West,,,Bristol 032B,South West,,E01014540,E02003043,Bristol 032,12154,BS1,47500,BS1 2
69,BS1 2AR,ST587732,Bristol,"Bristol, City of",Central,E06000023,E05010892,E11000003,Bristol West,,,Bristol 032C,South West,,E01014542,E02003043,Bristol 032,18266,BS1,47500,BS1 2
70,BS1 2AS,ST587732,Bristol,"Bristol, City of",Central,E06000023,E05010892,E11000003,Bristol West,,,Bristol 032C,South West,,E01014542,E02003043,Bristol 032,18266,BS1,47500,BS1 2
71,BS1 2AT,ST588730,Bristol,"Bristol, City of",Central,E06000023,E05010892,E11000003,Bristol West,17.0,7.0,Bristol 032B,South West,,E01014540,E02003043,Bristol 032,12154,BS1,47500,BS1 2
72,BS1 2AU,ST587732,Bristol,"Bristol, City of",Central,E06000023,E05010892,E11000003,Bristol West,,,Bristol 032C,South West,,E01014542,E02003043,Bristol 032,18266,BS1,47500,BS1 2
73,BS1 2AW,ST589729,Bristol,"Bristol, City of",Central,E06000023,E05010892,E11000003,Bristol West,,,Bristol 032B,South West,,E01014540,E02003043,Bristol 032,12154,BS1,47500,BS1 2
74,BS1 2AX,ST588733,Bristol,"Bristol, City of",Central,E06000023,E05010892,E11000003,Bristol West,,,Bristol 032C,South West,,E01014542,E02003043,Bristol 032,18266,BS1,47500,BS1 2
75,BS1 2AZ,ST588730,Bristol,"Bristol, City of",Central,E06000023,E05010892,E11000003,Bristol West,,,Bristol 032B,South West,,E01014540,E02003043,Bristol 032,12154,BS1,47500,BS1 2
76,BS1 2BA,ST588732,Bristol,"Bristol, City of",Central,E06000023,E05010892,E11000003,Bristol West,,,Bristol 032C,South West,,E01014542,E02003043,Bristol 032,18266,BS1,47500,BS1 2
77,BS1 2BB,ST588730,Bristol,"Bristol, City of",Central,E06000023,E05010892,E11000003,Bristol West,,,Bristol 032B,South West,,E01014540,E02003043,Bristol 032,12154,BS1,47500,BS1 2
78,BS1 2BD,ST589731,Bristol,"Bristol, City of",Central,E06000023,E05010892,E11000003,Bristol West,,,Bristol 032B,South West,,E01014540,E02003043,Bristol 032,12154,BS1,47500,BS1 2
79,BS1 2BE,ST588732,Bristol,"Bristol, City of",Central,E06000023,E05010892,E11000003,Bristol West,,,Bristol 032C,South West,,E01014542,E02003043,Bristol 032,18266,BS1,47500,BS1 2
80,BS1 2BF,ST588732,Bristol,"Bristol, City of",Central,E06000023,E05010892,E11000003,Bristol West,,,Bristol 032C,South West,,E01014542,E02003043,Bristol 032,18266,BS1,47500,BS1 2
81,BS1 2BG,ST588732,Bristol,"Bristol, City of",Central,E06000023,E05010892,E11000003,Bristol West,,,Bristol 032C,South West,,E01014542,E02003043,Bristol 032,18266,BS1,47500,BS1 2
82,BS1 2BJ,ST588732,Bristol,"Bristol, City of",Central,E06000023,E05010892,E11000003,Bristol West,,,Bristol 032C,South West,,E01014542,E02003043,Bristol 032,18266,BS1,47500,BS1 2
83,BS1 2BQ,ST590731,Bristol,"Bristol, City of",Central,E06000023,E05010892,E11000003,Bristol West,,,Bristol 032B,South West,,E01014540,E02003043,Bristol 032,12154,BS1,47500,BS1 2
84,BS1 2DD,ST590731,Bristol,"Bristol, City of",Central,E06000023,E05010892,E11000003,Bristol West,,,Bristol 032B,South West,,E01014540,E02003043,Bristol 032,12154,BS1,47500,BS1 2
85,BS1 2DF,ST590732,Bristol,"Bristol, City of",Central,E06000023,E05010892,E11000003,Bristol West,,,Bristol 032B,South West,,E01014540,E02003043,Bristol 032,12154,BS1,47500,BS1 2
86,BS1 2DJ,ST590732,Bristol,"Bristol, City of",Central,E06000023,E05010892,E11000003,Bristol West,,,Bristol 032B,South West,,E01014540,E02003043,Bristol 032,12154,BS1,47500,BS1 2
87,BS1 2DL,ST589733,Bristol,"Bristol, City of",Central,E06000023,E05010892,E11000003,Bristol West,,,Bristol 032B,South West,,E01014540,E02003043,Bristol 032,12154,BS1,47500,BS1 2
88,BS1 2DP,ST590732,Bristol,"Bristol, City of",Central,E06000023,E05010892,E11000003,Bristol West,1.0,1.0,Bristol 032B,South West,,E01014540,E02003043,Bristol 032,12154,BS1,47500,BS1 2
89,BS1 2DS,ST590732,Bristol,"Bristol, City of",Central,E06000023,E05010892,E11000003,Bristol West,,,Bristol 032B,South West,,E01014540,E02003043,Bristol 032,12154,BS1,47500,BS1 2
90,BS1 2DU,ST589733,Bristol,"Bristol, City of",Central,E06000023,E05010892,E11000003,Bristol West,,,Bristol 032B,South West,,E01014540,E02003043,Bristol 032,12154,BS1,47500,BS1 2
91,BS1 2EH,ST588730,Bristol,"Bristol, City of",Central,E06000023,E05010892,E11000003,Bristol West,,,Bristol 032B,South West,,E01014540,E02003043,Bristol 032,12154,BS1,47500,BS1 2
92,BS1 2EJ,ST588730,Bristol,"Bristol, City of",Central,E06000023,E05010892,E11000003,Bristol West,6.0,2.0,Bristol 032B,South West,,E01014540,E02003043,Bristol 032,12154,BS1,47500,BS1 2
93,BS1 2EL,ST588730,Bristol,"Bristol, City of",Central,E06000023,E05010892,E11000003,Bristol West,,,Bristol 032B,South West,,E01014540,E02003043,Bristol 032,12154,BS1,47500,BS1 2
94,BS1 2EP,ST588731,Bristol,"Bristol, City of",Central,E06000023,E05010892,E11000003,Bristol West,13.0,7.0,Bristol 032B,South West,,E01014540,E02003043,Bristol 032,12154,BS1,47500,BS1 2
95,BS1 2EQ,ST587731,Bristol,"Bristol, City of",Central,E06000023,E05010892,E11000003,Bristol West,,,Bristol 032C,South West,,E01014542,E02003043,Bristol 032,18266,BS1,47500,BS1 2
96,BS1 2ER,ST588731,Bristol,"Bristol, City of",Central,E06000023,E05010892,E11000003,Bristol West,16.0,10.0,Bristol 032C,South West,,E01014542,E02003043,Bristol 032,18266,BS1,47500,BS1 2
97,BS1 2EU,ST588731,Bristol,"Bristol, City of",Central,E06000023,E05010892,E11000003,Bristol West,3.0,2.0,Bristol 032C,South West,,E01014542,E02003043,Bristol 032,18266,BS1,47500,BS1 2
98,BS1 2EY,ST588731,Bristol,"Bristol, City of",Central,E06000023,E05010892,E11000003,Bristol West,55.0,12.0,Bristol 032B,South West,,E01014540,E02003043,Bristol 032,12154,BS1,47500,BS1 2
99,BS1 2EZ,ST587731,Bristol,"Bristol, City of",Central,E06000023,E05010892,E11000003,Bristol West,,,Bristol 032C,South West,,E01014542,E02003043,Bristol 032,18266,BS1,47500,BS1 2
100,BS1 2HF,ST587731,Bristol,"Bristol, City of",Central,E06000023,E05010892,E11000003,Bristol West,,,Bristol 032B,South West,,E01014540,E02003043,Bristol 032,12154,BS1,47500,BS1 2
101,BS1 2HG,ST587731,Bristol,"Bristol, City of",Central,E06000023,E05010892,E11000003,Bristol West,,,Bristol 032B,South West,,E01014540,E02003043,Bristol 032,12154,BS1,47500,BS1 2
102,BS1 2HL,ST588730,Bristol,"Bristol, City of",Central,E06000023,E05010892,E11000003,Bristol West,,,Bristol 032B,South West,,E01014540,E02003043,Bristol 032,12154,BS1,47500,BS1 2
103,BS1 2HP,ST589731,Bristol,"Bristol, City of",Central,E06000023,E05010892,E11000003,Bristol West,,,Bristol 032B,South West,,E01014540,E02003043,Bristol 032,12154,BS1,47500,BS1 2
104,BS1 2HR,ST588731,Bristol,"Bristol, City of",Central,E06000023,E05010892,E11000003,Bristol West,33.0,11.0,Bristol 032C,South West,,E01014542,E02003043,Bristol 032,18266,BS1,47500,BS1 2
105,BS1 2HW,ST588730,Bristol,"Bristol, City of",Central,E06000023,E05010892,E11000003,Bristol West,,,Bristol 032B,South West,,E01014540,E02003043,Bristol 032,12154,BS1,47500,BS1 2
106,BS1 2JL,ST587731,Bristol,"Bristol, City of",Central,E06000023,E05010892,E11000003,Bristol West,,,Bristol 032B,South West,,E01014540,E02003043,Bristol 032,12154,BS1,47500,BS1 2
107,BS1 2JT,ST587732,Bristol,"Bristol, City of",Central,E06000023,E05010892,E11000003,Bristol West,124.0,11.0,Bristol 032C,South West,,E01014542,E02003043,Bristol 032,18266,BS1,47500,BS1 2
108,BS1 2JY,ST589732,Bristol,"Bristol, City of",Central,E06000023,E05010892,E11000003,Bristol West,,,Bristol 032B,South West,,E01014540,E02003043,Bristol 032,12154,BS1,47500,BS1 2
109,BS1 2LA,ST589732,Bristol,"Bristol, City of",Central,E06000023,E05010892,E11000003,Bristol West,,,Bristol 032B,South West,,E01014540,E02003043,Bristol 032,12154,BS1,47500,BS1 2
110,BS1 2LE,ST589732,Bristol,"Bristol, City of",Central,E06000023,E05010892,E11000003,Bristol West,,,Bristol 032B,South West,,E01014540,E02003043,Bristol 032,12154,BS1,47500,BS1 2
111,BS1 2LJ,ST600746,Bristol,"Bristol, City of",Ashley,E06000023,E05010885,E11000003,Bristol West,5.0,1.0,Bristol 023A,South West,,E01014485,E02003034,Bristol 023,12992,BS1,40800,BS1 2
112,BS1 2LU,ST588734,Bristol,"Bristol, City of",Central,E06000023,E05010892,E11000003,Bristol West,4.0,1.0,Bristol 032C,South West,,E01014542,E02003043,Bristol 032,18266,BS1,47500,BS1 2
113,BS1 2LX,ST587734,Bristol,"Bristol, City of",Central,E06000023,E05010892,E11000003,Bristol West,,,Bristol 032C,South West,,E01014542,E02003043,Bristol 032,18266,BS1,47500,BS1 2
114,BS1 2LY,ST587734,Bristol,"Bristol, City of",Central,E06000023,E05010892,E11000003,Bristol West,,,Bristol 032C,South West,,E01014542,E02003043,Bristol 032,18266,BS1,47500,BS1 2
115,BS1 2LZ,ST589731,Bristol,"Bristol, City of",Central,E06000023,E05010892,E11000003,Bristol West,,,Bristol 032B,South West,,E01014540,E02003043,Bristol 032,12154,BS1,47500,BS1 2
116,BS1 2NB,ST589731,Bristol,"Bristol, City of",Central,E06000023,E05010892,E11000003,Bristol West,,,Bristol 032B,South West,,E01014540,E02003043,Bristol 032,12154,BS1,47500,BS1 2
117,BS1 2NH,ST586732,Bristol,"Bristol, City of",Central,E06000023,E05010892,E11000003,Bristol West,,,Bristol 032C,South West,,E01014542,E02003043,Bristol 032,18266,BS1,47500,BS1 2
118,BS1 2NJ,ST587733,Bristol,"Bristol, City of",Central,E06000023,E05010892,E11000003,Bristol West,,,Bristol 032C,South West,,E01014542,E02003043,Bristol 032,18266,BS1,47500,BS1 2
119,BS1 2NN,ST586733,Bristol,"Bristol, City of",Central,E06000023,E05010892,E11000003,Bristol West,,,Bristol 032C,South West,,E01014542,E02003043,Bristol 032,18266,BS1,47500,BS1 2
120,BS1 2NP,ST587733,Bristol,"Bristol, City of",Central,E06000023,E05010892,E11000003,Bristol West,,,Bristol 032C,South West,,E01014542,E02003043,Bristol 032,18266,BS1,47500,BS1 2
121,BS1 2NR,ST587733,Bristol,"Bristol, City of",Central,E06000023,E05010892,E11000003,Bristol West,,,Bristol 032C,South West,,E01014542,E02003043,Bristol 032,18266,BS1,47500,BS1 2
122,BS1 2NT,ST587733,Bristol,"Bristol, City of",Central,E06000023,E05010892,E11000003,Bristol West,,,Bristol 032C,South West,,E01014542,E02003043,Bristol 032,18266,BS1,47500,BS1 2
123,BS1 2NU,ST586732,Bristol,"Bristol, City of",Central,E06000023,E05010892,E11000003,Bristol West,12.0,2.0,Bristol 032C,South West,,E01014542,E02003043,Bristol 032,18266,BS1,47500,BS1 2
124,BS1 2NZ,ST587733,Bristol,"Bristol, City of",Central,E06000023,E05010892,E11000003,Bristol West,,,Bristol 032C,South West,,E01014542,E02003043,Bristol 032,18266,BS1,47500,BS1 2
125,BS1 2PH,ST589730,Bristol,"Bristol, City of",Central,E06000023,E05010892,E11000003,Bristol West,,,Bristol 032B,South West,,E01014540,E02003043,Bristol 032,12154,BS1,47500,BS1 2
126,BS1 2PY,ST588732,Bristol,"Bristol, City of",Central,E06000023,E05010892,E11000003,Bristol West,,,Bristol 032C,South West,,E01014542,E02003043,Bristol 032,18266,BS1,47500,BS1 2
127,BS1 2PZ,ST587732,Bristol,"Bristol, City of",Central,E06000023,E05010892,E11000003,Bristol West,161.0,2.0,Bristol 032C,South West,,E01014542,E02003043,Bristol 032,18266,BS1,47500,BS1 2
128,BS1 2QD,ST588732,Bristol,"Bristol, City of",Central,E06000023,E05010892,E11000003,Bristol West,,,Bristol 032B,South West,,E01014540,E02003043,Bristol 032,12154,BS1,47500,BS1 2
129,BS1 3AD,ST594731,Bristol,"Bristol, City of",Central,E06000023,E05010892,E11000003,Bristol West,,,Bristol 032B,South West,,E01014540,E02003043,Bristol 032,12154,BS1,47500,BS1 3
130,BS1 3AE,ST595731,Bristol,"Bristol, City of",Lawrence Hill,E06000023,E05010907,E11000003,Bristol West,,,Bristol 054B,South West,,E01033353,E02006887,Bristol 054,5406,BS1,39100,BS1 3
131,BS1 3AF,ST594732,Bristol,"Bristol, City of",Central,E06000023,E05010892,E11000003,Bristol West,,,Bristol 032B,South West,,E01014540,E02003043,Bristol 032,12154,BS1,47500,BS1 3
132,BS1 3AG,ST594732,Bristol,"Bristol, City of",Central,E06000023,E05010892,E11000003,Bristol West,,,Bristol 025E,South West,,E01033342,E02003036,Bristol 025,12787,BS1,46700,BS1 3
133,BS1 3AH,ST594732,Bristol,"Bristol, City of",Central,E06000023,E05010892,E11000003,Bristol West,,,Bristol 025E,South West,,E01033342,E02003036,Bristol 025,12787,BS1,46700,BS1 3
